track_id,track_name,track_popularity,track_duration_ms,explicit_lyrics,release_date,danceability,energy,musical_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year
3Sy3MuMeVhCd2QwDwy0W6Q,Ele Güne Karşı,56,189367,0,2013-01-29,0.509,0.817,4,-8.129,0,0.0935,0.0676,1.13e-05,0.21,0.713,147.815,3,2013.0
0c5GJlfdCPau2M3Usj7uz3,Yalnızlık Ömür Boyu,51,244246,0,2013-01-29,0.501,0.616,4,-8.887,0,0.0418,0.642,0.0,0.317,0.368,86.016,4,2013.0
5iQzKryLiRfCbid0mP75pb,Güllerin İçinden,51,235754,0,2013-01-29,0.525,0.299,2,-11.832,0,0.0284,0.668,5.03e-05,0.0939,0.414,139.095,4,2013.0
2QGJ0HZvHwKF1uyB63E1Jo,Tam Ortasındayım,48,192553,0,2013-06-04,0.463,0.438,9,-10.917,0,0.0261,0.869,9.14e-06,0.105,0.341,147.666,5,2013.0
4GVzBVrDce2kS5TDQBMUJ5,Bu Sabah Yağmur Var İstanbul'da,46,220641,0,2013-01-29,0.504,0.245,2,-11.935,1,0.0331,0.706,0.0,0.137,0.266,120.0,4,2013.0
33xcUviev85baFUelQYX9y,Bodrum,38,237514,0,2013-01-29,0.541,0.445,1,-7.499,1,0.0299,0.847,4.91e-05,0.0468,0.456,139.114,4,2013.0
7E7SO2gZLbJK4CMUuPEOYZ,Aşkın Kenarından,52,210221,0,2017-06-19,0.605,0.499,11,-9.731,0,0.0258,0.681,0.000255,0.136,0.385,136.124,4,2017.0
1wT5yu8yICXbwlr43f2JjE,風は西から,35,219120,0,2013-11-27,0.576,0.903,7,-3.868,1,0.0349,0.000117,8.32e-06,0.112,0.743,127.949,4,2013.0
0Lh3bz143h1LBtv8qcY75n,Figurate Tu,50,245747,0,2015-03-12,0.541,0.757,7,-10.559,1,0.0429,0.0889,0.0,0.956,0.848,78.65,4,2015.0
1CUTRdjoxE6vUHCWc8rhKL,Amor de Alquiler,45,263360,0,2015-06-24,0.548,0.917,9,-4.063,0,0.0458,0.154,0.00389,0.949,0.797,149.536,4,2015.0
5jlTIwTNeIKx85eXDoMlz7,Lo Mejor del Amor,44,230173,0,2015-06-24,0.699,0.765,7,-7.933,1,0.0318,0.0977,0.0,0.157,0.934,145.97,4,2015.0
018Wqw3VG4yzkwGWhD5Wo5,Y Volo Volo,42,263547,0,2015-06-29,0.639,0.745,0,-6.365,0,0.0422,0.224,0.0,0.192,0.943,147.026,4,2015.0
2WTiLctK5OBFSBVyMyjxcT,Wannabe,2,173027,0,2020-09-25,0.768,0.864,11,-6.149,1,0.0324,0.101,0.0,0.162,0.891,110.009,4,2020.0
1QgfZsvA8tpsMVs1EylzYU,La chica de Ipanema,58,251480,0,2017-12-01,0.779,0.613,9,-7.24,1,0.0674,0.534,9.54e-05,0.118,0.812,152.066,4,2017.0
40tFJtuES1da2fg0OurUdI,Eso Que Tú Me Das,69,214554,0,2020-05-26,0.778,0.804,0,-5.699,1,0.0286,0.144,9.5e-05,0.0676,0.836,130.004,4,2020.0
64b4H2swBOouj8J0AZ4buE,Humo,51,185743,0,2017-03-10,0.583,0.426,7,-6.422,1,0.0395,0.429,0.0,0.0746,0.356,74.954,4,2017.0
3P0DZ53GdMzwP3brAHaMkU,Unwell,47,228707,0,2013-11-08,0.256,0.788,6,-5.263,0,0.0403,0.0298,0.0,0.707,0.429,80.718,4,2013.0
5l36mPDpqNWrNIRzwJpwYl,Bright Lights,54,234427,0,2013-11-08,0.319,0.732,4,-4.475,1,0.0436,0.0134,0.0,0.658,0.2,80.195,4,2013.0
3LMH3VdtWuNhAhgwQhD79g,Children - Radio Edit,51,242000,0,2013-03-22,0.61,0.824,0,-7.81,1,0.0339,0.000352,0.782,0.0648,0.466,137.056,4,2013.0
2IAEp1WkZP5d2uCF4I3WjM,Children,42,246707,0,2014-12-20,0.604,0.768,0,-9.066,1,0.0331,0.000288,0.716,0.0789,0.432,137.056,4,2014.0
7btZl9yCYk7bgmOvIp1hrj,Children,40,246707,0,2014-03-03,0.604,0.768,0,-9.066,1,0.0331,0.000288,0.716,0.0789,0.432,137.056,4,2014.0
3boi65u59Ex9jbhLXcXwre,Children,59,246707,0,2014-12-01,0.604,0.768,0,-9.066,1,0.0331,0.000288,0.716,0.0789,0.432,137.056,4,2014.0
7ljsdGh3oj4bNGqQsx4UM7,Carta urgente (feat. Abel Pintos),56,260680,0,2013-11-19,0.433,0.357,7,-8.135,1,0.0282,0.651,0.0,0.114,0.212,128.088,4,2013.0
6v1WPiTbNEM9m3Ruyx1Srd,En la memoria de la piel,46,272239,0,2016-11-04,0.456,0.851,5,-5.523,1,0.109,0.184,0.0,0.135,0.474,176.963,4,2016.0
4rTeOSYqwXNz5qPR2DUTFZ,Everybody (Backstreet's Back) - Radio Edit,63,224960,0,2013-06-10,0.735,0.873,10,-3.493,0,0.0402,0.025,3.27e-06,0.265,0.586,108.021,4,2013.0
6w458kA8WOAIZr1ublxnK9,Safarnama,62,251402,0,2015-10-16,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036,4,2015.0
08Az8ihw2PvIlj4cpLsZgT,Corazón Fugitivo,51,236013,0,2014-12-17,0.568,0.948,1,-4.545,0,0.0309,0.0002,1.6e-05,0.499,0.519,132.012,4,2014.0
16Rg6mHOVYYMXCzxHD9knE,San Miguel,42,179213,0,2014-12-17,0.248,0.963,7,-2.879,1,0.0699,0.00466,7.22e-05,0.34,0.522,202.839,4,2014.0
59xswgEWnuM2DZq0SlOlyw,Nómades,41,175427,0,2014-12-17,0.461,0.923,11,-3.76,0,0.0421,0.000398,0.000404,0.133,0.57,143.137,4,2014.0
3wwABoBedeudsSli4ksHGK,Sabes Qué,40,287253,0,2014-12-17,0.318,0.95,7,-3.337,1,0.0942,0.00147,1.94e-05,0.23,0.37,150.042,4,2014.0
5jTbXBEemzKyWkmnylmS30,Pole,39,180467,0,2014-12-17,0.531,0.981,2,-3.455,1,0.0475,0.00516,0.0,0.314,0.467,112.411,4,2014.0
1UvWx2hgpxlF7HPbwLSmIY,Anjos (Pra quem tem fé),65,419520,0,2013-08-15,0.604,0.82,10,-4.927,0,0.0401,0.144,0.000133,0.109,0.427,105.019,4,2013.0
19QGIdhhRCB303eGVUQyZM,Auto-reverse,62,285067,0,2013-08-15,0.668,0.848,6,-3.94,0,0.0435,0.0363,5.68e-05,0.071,0.773,95.494,4,2013.0
6dMLoNGV0csf6zr9lbbfIv,Um dia lindo - Participação especial de Edi Rock,49,370213,0,2013-08-15,0.591,0.881,7,-5.727,1,0.102,0.0213,0.00102,0.358,0.531,102.026,4,2013.0
45DQtZwQ8ycqJ31TaYk8Ax,Cruz de tecido,49,376933,0,2013-08-15,0.486,0.855,5,-5.042,1,0.157,0.246,0.00546,0.108,0.464,173.024,4,2013.0
0OoPk96TtCA3gNFT3jfime,O horizonte é logo alí,48,228080,0,2013-08-15,0.497,0.917,10,-4.996,0,0.0843,0.00753,0.000652,0.198,0.645,159.968,4,2013.0
